#,Categoria,Nome_do_taxon_(com_autoria),Nome_em_Portugues,English_Name,Vasante__Julho_/2023,,,,,,,,,,,,,,,,Seca__Outubro_/2023,,,,,,,,,,,,,,,Enchente_Marco_de_2024,,,,,,,,,,,,,,Cheia_Dezembro_2024,,,,,,,,,,,,,
,,,,,FOAD,B._sonhos,estrada_(mata+comunidade),Sinha_mariana_(indo_para_corixo_Leme),Corixo_Leme,_Rio_II_________________________________________Estirao_Cumprido/Porto_Brandao,,Rio_I_______________________Poco/_Barao,,Mane_Isaque,Rio_III______________Cuiaba_Mirim,Sinha_Mariana__Mutum,Rio_Mutum,Corixo_do_Mato,Chacorore_cidade,Total_1ª_Coleta,FOAD,B._sonhos,estrada_(mata+comunidade),Chacorore___Sinha_Mariana,Corixo_Leme,_Rio_II_____________________________________________________Porto_Brandao/_Estirao_Cumprido,Rio_III,,Mane_Isaque,Rio_I,Sinha_Mariana__Mutum,Rio_Mutum,Corixo_do_Mato,Chacorore,Total_2º_Coleta,FOAD,B._sonhos,estrada_(mata+comunidade),Chacorore___Sinha_Mariana,Corixo_Leme,Rio_III,Rio_II,Rio_I,Mane_Isaque,Sinha_Mariana__Mutum,Rio_Mutum,Corixo_do_Mato,Chacorore,Total_3º_Coleta,FOAD,B._sonhos,estrada_(mata+comunidade),Chacorore___Sinha_Mariana,Corixo_Leme,Rio_III,Rio_II,Rio_I,Mane_Isaque,Sinha_Mariana__Mutum,Rio_Mutum,Corixo_do_Mato,Chacorore,Total_4º_Coleta
91,Genero,Cairina_Fleming_1822,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
92,Especie,Cairina_moschata_(Linnaeus_1758),pato_do_mato,Muscovy_Duck,,,,,,,,,,,,,5,,,5,,,,,,,,,,,,4,,,4,,,,,,,,,,,,,,0,,,,,,,,,,,2,,,2
93,Genero,Sarkidiornis_Eyton_1838,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
94,Especie,Sarkidiornis_sylvicola_Ihering_&_Ihering_1907,pato_de_crista,Comb_Duck,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
95,Genero,Callonetta_Delacour_1936,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
96,Especie,Callonetta_leucophrys_(Vieillot_1816),marreca_de_coleira,Ringed_Teal,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
97,Genero,Amazonetta_Boetticher_1929,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
98,Especie,Amazonetta_brasiliensis_(Gmelin_1789),marreca_ananai,Brazilian_Teal,,,,,,,,,,,,,,,3,3,2,,,,,,,,,,23,,,,25,3,3,,,,,,,,,,,,6,,,,,,,,,,3,,,,3
101,Genero,Spatula_Boie_1822,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
102,Especie,Spatula_versicolor_(Vieillot_1816),marreca_cricri,Silver_Teal,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
104,Especie,Spatula_platalea_(Vieillot_1816),marreca_colhereira,Red_Shoveler,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
105,Especie,Spatula_discors_(Linnaeus_1766),marreca_de_asa_azul,Blue_winged_Teal,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
106,Especie,Spatula_cyanoptera_(Vieillot_1816),marreca_colorada,Cinnamon_Teal,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
108,Genero,Mareca_Stephens_1824,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
109,Especie,Mareca_sibilatrix_(Poeppig_1829),marreca_oveira,Chiloe_Wigeon,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
110,Genero,Anas_Linnaeus_1758,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
111,Especie,Anas_bahamensis_Linnaeus_1758,marreca_toicinho,White_cheeked_Pintail,,,,,,,,,,,,,,,,0,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
114,Especie,Anas_acuta_Linnaeus_1758,arrabio,Northern_Pintail,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
115,Especie,Anas_georgica_Gmelin_1789,marreca_parda,Yellow_billed_Pintail,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
117,Especie,Anas_flavirostris_Vieillot_1816,marreca_pardinha,Yellow_billed_Teal,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
119,Genero,Netta_Kaup_1829,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
120,Especie,Netta_erythrophthalma_(Wied_1833),paturi_preta,Southern_Pochard,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
122,Especie,Netta_peposaca_(Vieillot_1816),marrecao,Rosy_billed_Pochard,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
123,Genero,Mergus_Linnaeus_1758,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
124,Especie,Mergus_octosetaceus_Vieillot_1817,pato_mergulhao,Brazilian_Merganser,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
125,Genero,Heteronetta_Salvadori_1865,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
126,Especie,Heteronetta_atricapilla_(Merrem_1841),marreca_de_cabeca_preta,Black_headed_Duck,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
127,Genero,Nomonyx_Ridgway_1880,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
128,Especie,Nomonyx_dominicus_(Linnaeus_1766),marreca_caucau,Masked_Duck,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
129,Genero,Oxyura_Bonaparte_1828,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
130,Especie,Oxyura_vittata_(Philippi_1860),marreca_rabo_de_espinho,Lake_Duck,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
131,Ordem,Galliformes_Linnaeus_1758,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
132,Familia,Cracidae_Rafinesque_1815,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
133,Genero,Penelope_Merrem_1786,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
134,Especie,Penelope_marail_(Statius_Muller_1776),jacumirim,Marail_Guan,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
137,Especie,Penelope_superciliaris_Temminck_1815,jacupemba,Rusty_margined_Guan,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
144,Especie,Penelope_jacquacu_Spix_1825,jacu_de_spix,Spix's_Guan,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
148,Especie,Penelope_obscura_Temminck_1815,jacuguacu,Dusky_legged_Guan,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
149,Especie,Penelope_pileata_Wagler_1830,jacupiranga,White_crested_Guan,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
150,Especie,Penelope_ochrogaster_Pelzeln_1870,jacu_de_barriga_castanha,Chestnut_bellied_Guan,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,2,,,,,1,,,,,,5,,,6,,,,,,,,,,,,,,0
151,Especie,Penelope_jacucaca_Spix_1825,jacucaca,White_browed_Guan,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
152,Genero,Aburria_Reichenbach_1853,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
153,Especie,Aburria_cumanensis_(Jacquin_1784),jacutinga_de_garganta_azul,Blue_throated_Piping_Guan,,,,,,,,,,,,,,,,0,,4,,,,,,,,,,,,,4,,,,,1,,1,,,,,,,2,,,,,,,,,,,,,,0
156,Especie,Aburria_cujubi_(Pelzeln_1858),cujubi,Red_throated_Piping_Guan,,,,,,,,,,,,,,,,0,,,,,11,,1,,,,,2,,,14,,,,,5,2,,,,,,,,7,,,,,,,,,,1,,,,1
