Especie,estrada_(mata_+_comunidade)___Vasante,FOAD_Vasante,B._sonhos_vasante,Sia_mariana__corixo_Leme__vasante,Corixo_Leme_vasante,Rio_III_vasante,RioII_vasante,Rio_I_vasante,Mane_Isaque_vasante,Sia_Mariana__Mutum_vasante,Rio_Mutum_vasante,Corixo_do_Mato_vasante,Chacorore__vasante,Total_1º_coleta/_Vazante,estrada_(mata_+_comunidade)_seca,FOAD_seca,B._sonhos_seca,Sia_Mariana__corixo_do_leme_seca,Corixo_Leme_seca,Rio_III_seca,_Rio_II_seca,Rio_I_seca,Mane_Isaque_seca,Sia_Mariana__Mutum_seca,Rio_Mutum_seca,Corixo_do_Mato_seca,Chacorore_seca,Total_2º_coleta/_Seca,estrada_(mata_+_comunidade)_enchente,FOAD_enchente,B._sonhos_enchente,Sia_Mariana___Corixo_do_Leme_enchente,Corixo_Leme_enchente,Rio_III_enchente,Rio_II_enchente,Rio_I_enchente,Mane_Isaque_enchente,Sia_Mariana__Mutum_enchente,Rio_Mutum_enchente,Corixo_do_Mato_enchente,Chacorore_enchente,Total_3º_coleta/_enchente,estrada_(mata_+_comunidade)_cheia,FOAD_cheia,B._sonhos_cheia,Sia_Mariana___Corixo_do_leme_cheia,Corixo_Leme_cheia,Rio_III_cheia,Rio_II_cheia,Rio_I_cheia,Mane_Isaque_cheia,Sia_Mariana__Mutum_cheia,Rio_Mutum_cheia,Corixo_do_Mato_cheia,Chacorore_cheia,Total_4º_coleta/_Cheia,Total
Egretta_thula_(Molina_1782),,,1,3,2,3,2,,2,4,11,37,,65,,,,,,,,7,,1,,,,8,,,,,,,,,,5,1,,,6,,,3,,,,,2,1,15,,,,21,100
Egretta_caerulea_(Linnaeus_1758),,1,1,,,,,,4,1,2,,,9,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,0,11
Plegadis_chihi_(Vieillot_1817),,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,0,1
Mesembrinibis_cayennensis_(Gmelin_1789),,,6,,,,,,,,,,1,7,,,,,,,76,1,,,,,15,92,,,3,,,,,3,1,1,1,,,9,,,,,,,,,,,3,,,3,111
Phimosus_infuscatus_(Lichtenstein_1823),,,80,,,,1,,,3,,12,2,98,,,,,,,15,,,12,,,16,43,,,1,,,,3,,,,,,,4,,,,,,,,,,,1,,,1,146
Theristicus_caerulescens_(Vieillot_1817),,,,,,,,,,,,,,0,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,0,,,,,,,,1,,,,,,1,3
Theristicus_caudatus_(Boddaert_1783),,3,14,,,,7,1,,2,,,2,29,1,2,2,,,,6,,,4,,,2,17,2,,,,,,,,,,2,,2,6,,,12,,,,4,,,,,,,16,68
Platalea_ajaja_Linnaeus_1758,,,7,,,,1,,2,,2,32,,44,,,,,,,34,,,,,,,34,,,44,,,,,,,,,,1,45,,,,,,,,,,,,,,0,123
Coragyps_atratus_(Bechstein_1793),,2,1,3,,2,42,44,10,3,16,,103,226,,2,41,,3,9,51,97,4,,,,6,213,1,,4,,5,14,2,4,3,,31,,2,66,,,,4,2,93,6,14,5,,3,,12,139,644
Cathartes_aura_(Linnaeus_1758),,,,,,,,,1,,7,,,8,,1,,,,,1,,,,1,,5,8,,,,,,,,1,,1,,,,2,,,,,,4,,,,,1,,,5,23
Cathartes_burrovianus_Cassin_1845,,2,,,,,2,,2,,,,,6,,,,,,,2,1,,,,,1,4,,,,,,,,,2,1,10,,1,14,,,,,1,2,,,,,,,,3,27
Pandion_haliaetus_(Linnaeus_1758),,,,,,,,1,,,,,,1,,,,,,,,3,,,1,,,4,,,,1,,,,,,1,,,,2,,,,,,,,,,,,,,0,7
Busarellus_nigricollis_(Latham_1790),,,,,,,,,,,2,1,1,4,,,,,,,1,,1,,2,,,4,1,,,,,,,1,,,3,,1,6,,,,1,,,1,,,,4,,,6,20
Rostrhamus_sociabilis_(Vieillot_1817),,1,,,,,2,,3,,,2,1,9,,,,,,,,,,,,,,0,,,,,,1,,,2,,,,,3,,,,,,,,,,,,,,0,12
Harpagus_diodon_(Temminck_1823),,,,,,,,2,,,,,,2,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,2
Circus_buffoni_(Gmelin_1788),,1,,,,,,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,0,2
Geranospiza_caerulescens_(Vieillot_1817),,,,,,,,,,,,,,0,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,1
Heterospizias_meridionalis_(Latham_1790),,,,,,,,,,,,,,0,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,1
Urubitinga_urubitinga_(Gmelin_1788),,,,,,,1,,,,,,,1,,,,,,2,,,,,,,,2,,,,,,1,,,1,,,,,2,,,,,,,,,,,,,,0,5
Rupornis_magnirostris_(Gmelin_1788),,,,,1,,,1,,,,,,2,1,,,,,,,,,,,,,1,,,,,2,1,1,1,2,,,,1,8,,,,,,,1,,,,,,,1,12
Parabuteo_unicinctus_(Temminck_1824),,,,,,,,1,,,,,,1,,,,,,,,,,,,,,0,,,,,,,1,,,,,,1,2,,,,,,,,,,,,,,0,3
Athene_cunicularia_(Molina_1782),2,,2,,,,,,,,,,,4,2,,10,,,,,,,,,,,12,,,4,,,,,,,,,,,4,,,4,,,,,,,,,,,4,24
Megaceryle_torquata_(Linnaeus_1766),,1,,,,1,3,3,6,1,11,4,1,31,,,,,2,2,2,5,,1,14,,,26,,,,,2,,3,,2,1,7,,1,16,,,,,,,,1,,,6,,,7,80
Chloroceryle_amazona_(Latham_1790),,1,,3,,,1,,7,,7,5,,24,,,,,,,1,1,1,,8,,1,12,,,,,,,,1,3,,6,,,10,,,,,,,,,1,,5,,,6,52
Chloroceryle_aenea_(Pallas_1764),,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,0,1
